threshold,number,distance,time
0.0,37.0,0.343,4.0
0.01,37.0,0.343,5.0
0.02,37.0,0.343,5.0
0.03,37.0,0.343,5.0
0.04,37.0,0.343,5.0
0.05,37.0,0.343,5.0
0.06,37.0,0.343,5.0
0.07,37.0,0.343,5.0
0.08,37.0,0.343,5.0
0.09,37.0,0.343,5.0
0.1,37.0,0.343,5.0
0.11,97.0,0.364,13.0
0.12,97.0,0.364,13.0
0.13,97.0,0.364,13.0
0.14,97.0,0.364,13.0
0.15,229.0,0.364,25.0
0.16,229.0,0.364,26.0
0.17,229.0,0.364,26.0
0.18,229.0,0.364,25.0
0.19,373.0,0.364,39.0
0.2,373.0,0.364,39.0
0.21,421.0,0.365,43.0
0.22,421.0,0.365,43.0
0.23,421.0,0.365,43.0
0.24,421.0,0.365,44.0
0.25,421.0,0.365,44.0
0.26,421.0,0.365,43.0
0.27,421.0,0.365,43.0
0.28,421.0,0.365,44.0
0.29,421.0,0.365,43.0
0.3,421.0,0.365,44.0
0.31,421.0,0.365,43.0
0.32,421.0,0.365,43.0
0.33,421.0,0.365,43.0
0.34,421.0,0.365,44.0
0.35,421.0,0.365,43.0
0.36,421.0,0.365,43.0
0.37,421.0,0.365,44.0
0.38,421.0,0.365,44.0
0.39,421.0,0.365,43.0
0.4,421.0,0.365,43.0
0.41,421.0,0.365,43.0
0.42,421.0,0.365,43.0
0.43,439.0,0.264,31.0
0.44,535.0,0.314,37.0
0.45,1337.0,0.33,92.0
0.46,4108.0,0.341,302.0
0.47,8171.0,0.347,615.0
0.48,13680.0,0.353,1053.0
0.49,27355.0,0.362,2181.0
0.5,35964.0,0.365,2864.0
0.51,45751.0,0.368,3736.0
0.52,48775.0,0.368,4004.0
0.53,51191.0,0.368,4227.0
0.54,51711.0,0.371,4283.0
0.55,51871.0,0.376,4277.0
