threshold,number,distance,time
0.0,37.0,0.336,2.0
0.01,38851.0,0.37,2910.0
0.02,38851.0,0.37,2922.0
0.03,38851.0,0.37,2911.0
0.04,38851.0,0.37,2917.0
0.05,38851.0,0.37,2941.0
0.06,38851.0,0.37,2931.0
0.07,38851.0,0.37,2929.0
0.08,38851.0,0.37,2916.0
0.09,38851.0,0.37,2937.0
0.1,38851.0,0.37,2928.0
0.11,38851.0,0.37,2952.0
0.12,38851.0,0.37,2935.0
0.13,38851.0,0.37,2926.0
0.14,38851.0,0.37,2914.0
0.15,38851.0,0.37,2916.0
0.16,38851.0,0.37,2911.0
0.17,38851.0,0.37,2929.0
0.18,38851.0,0.37,2924.0
0.19,38851.0,0.37,2932.0
0.2,38851.0,0.37,2915.0
0.21,38851.0,0.37,2923.0
0.22,38851.0,0.37,2932.0
0.23,38851.0,0.37,2918.0
0.24,38851.0,0.37,2917.0
0.25,38851.0,0.37,2927.0
0.26,38851.0,0.37,2911.0
0.27,38851.0,0.37,2915.0
0.28,38851.0,0.37,2911.0
0.29,38851.0,0.37,2919.0
0.3,38851.0,0.37,2938.0
0.31,38851.0,0.37,2916.0
0.32,38851.0,0.37,2936.0
0.33,38851.0,0.37,2917.0
0.34,38851.0,0.37,2923.0
0.35,38851.0,0.37,2905.0
0.36,38851.0,0.37,2934.0
0.37,38851.0,0.37,2923.0
0.38,38851.0,0.37,2926.0
0.39,38851.0,0.37,2922.0
0.4,38851.0,0.37,2905.0
0.41,38851.0,0.37,2911.0
0.42,38851.0,0.37,2925.0
0.43,38860.0,0.395,2930.0
0.44,38863.0,0.395,2938.0
0.45,38988.0,0.395,2927.0
0.46,39664.0,0.395,2975.0
0.47,40615.0,0.395,3054.0
0.48,41854.0,0.395,3131.0
0.49,45054.0,0.395,3393.0
0.5,46911.0,0.395,3522.0
0.51,49333.0,0.395,3728.0
0.52,50511.0,0.395,3820.0
0.53,51539.0,0.395,3889.0
0.54,51791.0,0.395,3891.0
0.55,51871.0,0.395,3909.0
